species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Dream,40.2,17.1,193.0,3400.0,FEMALE
Adelie,Dream,40.6,17.2,187.0,3475.0,MALE
Adelie,Dream,32.1,15.5,188.0,3050.0,FEMALE
Adelie,Dream,40.7,17.0,190.0,3725.0,MALE
Adelie,Dream,37.3,16.8,192.0,3000.0,FEMALE
Adelie,Dream,39.0,18.7,185.0,3650.0,MALE
Adelie,Dream,39.2,18.6,190.0,4250.0,MALE
Adelie,Dream,36.6,18.4,184.0,3475.0,FEMALE
Adelie,Dream,36.0,17.8,195.0,3450.0,FEMALE
Adelie,Dream,37.8,18.1,193.0,3750.0,MALE
Adelie,Dream,36.0,17.1,187.0,3700.0,FEMALE
Adelie,Dream,41.5,18.5,201.0,4000.0,MALE
Chinstrap,Dream,46.5,17.9,192.0,3500.0,FEMALE
Chinstrap,Dream,50.0,19.5,196.0,3900.0,MALE
Chinstrap,Dream,51.3,19.2,193.0,3650.0,MALE
Chinstrap,Dream,45.4,18.7,188.0,3525.0,FEMALE
Chinstrap,Dream,52.7,19.8,197.0,3725.0,MALE
Chinstrap,Dream,45.2,17.8,198.0,3950.0,FEMALE
Chinstrap,Dream,46.1,18.2,178.0,3250.0,FEMALE
Chinstrap,Dream,51.3,18.2,197.0,3750.0,MALE
Chinstrap,Dream,46.0,18.9,195.0,4150.0,FEMALE
Chinstrap,Dream,51.3,19.9,198.0,3700.0,MALE
Chinstrap,Dream,46.6,17.8,193.0,3800.0,FEMALE
Chinstrap,Dream,51.7,20.3,194.0,3775.0,MALE
Chinstrap,Dream,47.0,17.3,185.0,3700.0,FEMALE
Chinstrap,Dream,52.0,18.1,201.0,4050.0,MALE
Chinstrap,Dream,45.9,17.1,190.0,3575.0,FEMALE
Chinstrap,Dream,50.5,19.6,201.0,4050.0,MALE
Chinstrap,Dream,50.3,20.0,197.0,3300.0,MALE
Chinstrap,Dream,58.0,17.8,181.0,3700.0,FEMALE
Chinstrap,Dream,46.4,18.6,190.0,3450.0,FEMALE
Chinstrap,Dream,49.2,18.2,195.0,4400.0,MALE
Chinstrap,Dream,42.4,17.3,181.0,3600.0,FEMALE
Chinstrap,Dream,48.5,17.5,191.0,3400.0,MALE
